ID,Type,Epoch,Loss,Accuracy
1,Training,0,4.590630054473877,0.0
2,Training,0,4.6137477967046925,0.01161290322580645
3,Training,0,4.618736681390981,0.023606557377049187
4,Validation,0,4.64366340637207,0.0
5,Validation,0,4.6032916415821425,0.03272727272727272
6,Training,1,4.545770645141602,0.0
7,Training,1,4.510400772094727,0.04258064516129033
8,Training,1,4.517482734117352,0.039344262295081985
9,Validation,1,4.3564887046813965,0.08
10,Validation,1,4.474518385800448,0.039999999999999994
11,Training,2,4.441854476928711,0.04
12,Training,2,4.382665203463647,0.059354838709677435
13,Training,2,4.362555886878342,0.07016393442622954
14,Validation,2,4.563136577606201,0.0
15,Validation,2,4.276589783755216,0.06181818181818182
16,Training,3,4.310327529907227,0.04
17,Training,3,4.163907458705287,0.08516129032258066
18,Training,3,4.133256009367646,0.10622950819672136
19,Validation,3,3.876854658126831,0.08
20,Validation,3,4.01399751143022,0.06909090909090909
21,Training,4,3.9813601970672607,0.08
22,Training,4,3.926144076931861,0.12000000000000005
23,Training,4,3.848265100698002,0.15409836065573776
24,Validation,4,3.758321762084961,0.12
25,Validation,4,3.6475435603748667,0.14909090909090908
26,Training,5,3.5960936546325684,0.24
27,Training,5,3.5582739691580496,0.20903225806451622
28,Training,5,3.532761179032873,0.22229508196721304
29,Validation,5,3.3919425010681152,0.16
30,Validation,5,3.2682609774849634,0.22909090909090904
31,Training,6,3.327249050140381,0.24
32,Training,6,3.2634819938290502,0.3019354838709678
33,Training,6,3.227190881478982,0.31147540983606553
34,Validation,6,3.063162326812744,0.28
35,Validation,6,2.990443793210116,0.24000000000000002
36,Training,7,2.7916300296783447,0.32
37,Training,7,2.9938366259298017,0.3419354838709677
38,Training,7,2.9264099441590856,0.37442622950819665
39,Validation,7,2.1694607734680176,0.48
40,Validation,7,2.9046100703152744,0.2654545454545455
41,Training,8,2.5430562496185303,0.48
42,Training,8,2.620413895576231,0.4464516129032258
43,Training,8,2.604737969695545,0.4518032786885246
44,Validation,8,2.6556975841522217,0.4
45,Validation,8,2.6911323937502774,0.34909090909090906
46,Training,9,2.566801071166992,0.44
47,Training,9,2.3705257946445095,0.5419354838709678
48,Training,9,2.324905121912722,0.5311475409836068
49,Validation,9,2.0979225635528564,0.4
50,Validation,9,2.437353318387812,0.3890909090909091
51,Training,10,2.099641799926758,0.56
52,Training,10,2.0735545773659982,0.6038709677419356
53,Training,10,2.060627419440473,0.5901639344262295
54,Validation,10,2.1598052978515625,0.48
55,Validation,10,2.293488762595437,0.4
56,Training,11,1.9127277135849,0.64
57,Training,11,1.7899298706362325,0.6580645161290323
58,Training,11,1.7811329677456715,0.6498360655737705
59,Validation,11,1.6461765766143799,0.6
60,Validation,11,2.1503912318836558,0.42181818181818187
61,Training,12,1.6059094667434692,0.64
62,Training,12,1.5233063120995798,0.7380645161290325
63,Training,12,1.5540270394966251,0.7219672131147541
64,Validation,12,2.5867760181427,0.36
65,Validation,12,2.1011173833500254,0.44000000000000006
66,Training,13,1.1031345129013062,0.92
67,Training,13,1.356726050376892,0.7600000000000002
68,Training,13,1.3345124105938146,0.7619672131147541
69,Validation,13,2.400038003921509,0.4
70,Validation,13,2.002461411736228,0.49454545454545457
71,Training,14,1.4260547161102295,0.8
72,Training,14,1.1656483431016245,0.8245161290322582
73,Training,14,1.1382937392250436,0.8242622950819676
74,Validation,14,1.4370759725570679,0.64
75,Validation,14,1.900319435379722,0.48727272727272725
76,Training,15,0.7981886267662048,0.96
77,Training,15,0.959106118448319,0.8606451612903226
78,Training,15,0.9479059537903207,0.864262295081968
79,Validation,15,1.6099973917007446,0.52
80,Validation,15,1.8542171716690063,0.5127272727272728
81,Training,16,0.6786477565765381,0.96
82,Training,16,0.7942591540275081,0.8993548387096775
83,Training,16,0.7934805506565532,0.8970491803278693
84,Validation,16,1.8621002435684204,0.44
85,Validation,16,1.8079182234677402,0.5054545454545455
86,Training,17,0.4350592792034149,1.0
87,Training,17,0.6301609085452172,0.9406451612903229
88,Training,17,0.6481971897062708,0.925901639344263
89,Validation,17,1.7198110818862915,0.6
90,Validation,17,1.6911349946802312,0.56
91,Training,18,0.5397698283195496,0.96
92,Training,18,0.5368714342194219,0.9548387096774198
93,Training,18,0.5419888999618467,0.9462295081967221
94,Validation,18,1.2503339052200317,0.64
95,Validation,18,1.584984307939356,0.5709090909090909
96,Training,19,0.36149007081985474,1.0
97,Training,19,0.435259509471155,0.9729032258064519
98,Training,19,0.44771838969871647,0.9619672131147547
99,Validation,19,1.2709521055221558,0.72
100,Validation,19,1.5666674050417813,0.5527272727272728
101,Training,20,0.5127952098846436,0.92
102,Training,20,0.366746106455403,0.9832258064516132
103,Training,20,0.3575661920133184,0.9842622950819675
104,Validation,20,1.51698899269104,0.52
105,Validation,20,1.482746882872148,0.5636363636363637
106,Training,21,0.5515435934066772,0.96
107,Training,21,0.3684624222017104,0.9729032258064517
108,Training,21,0.35898622577307654,0.9783606557377051
109,Validation,21,1.4516910314559937,0.6
110,Validation,21,1.472095782106573,0.6109090909090908
111,Training,22,0.29346513748168945,1.0
112,Training,22,0.34193250392713853,0.9870967741935487
113,Training,22,0.34484784402808205,0.9816393442622954
114,Validation,22,1.859261155128479,0.6
115,Validation,22,1.5406013402071865,0.5781818181818182
116,Training,23,0.32229509949684143,0.96
117,Training,23,0.3259127870682747,0.9832258064516131
118,Training,23,0.33019196083311175,0.9816393442622954
119,Validation,23,2.257549285888672,0.4
120,Validation,23,1.6370326388965954,0.56
121,Training,24,0.316618949174881,0.96
122,Training,24,0.32670183095239824,0.9845161290322582
123,Training,24,0.32154601274943745,0.9822950819672134
124,Validation,24,1.4806872606277466,0.68
125,Validation,24,1.5669263113628735,0.6
126,Training,25,0.2655095160007477,1.0
127,Training,25,0.3278040732106855,0.9845161290322582
128,Training,25,0.3266122123745621,0.9868852459016395
129,Validation,25,1.5986802577972412,0.48
130,Validation,25,1.596415183760903,0.5636363636363637
131,Training,26,0.2613128125667572,1.0
132,Training,26,0.3067687894067457,0.9922580645161291
133,Training,26,0.3181366099685919,0.9862295081967216
134,Validation,26,1.5601192712783813,0.52
135,Validation,26,1.554772225293246,0.5745454545454545
136,Training,27,0.22648534178733826,1.0
137,Training,27,0.30878157865616584,0.9806451612903226
138,Training,27,0.29739791350286515,0.9842622950819673
