ID,Type,Epoch,Loss,Accuracy
1,Training,0,4.636786460876465,0.0
2,Training,0,4.621618655420119,0.01129032258064516
3,Training,0,4.630401978727247,0.016393442622950824
4,Validation,0,4.593600749969482,0.0
5,Validation,0,4.557649352333763,0.02727272727272727
6,Validation,0,4.562768300374349,0.02857142857142857
7,Training,1,4.600897789001465,0.0
8,Training,1,4.528145805481942,0.022580645161290325
9,Training,1,4.524226454437756,0.027049180327868863
10,Validation,1,4.3829426765441895,0.05
11,Validation,1,4.429453372955322,0.03636363636363636
12,Validation,1,4.431804316384452,0.04727891156462585
13,Training,2,4.24235200881958,0.1
14,Training,2,4.3671660730915685,0.06612903225806452
15,Training,2,4.336592326398756,0.06147540983606555
16,Validation,2,4.236879825592041,0.05
17,Validation,2,4.125029910694469,0.08181818181818183
18,Validation,2,4.196871076311384,0.08095238095238096
19,Training,3,3.8758304119110107,0.1
20,Training,3,4.1022574593943935,0.0903225806451613
21,Training,3,4.082401584406368,0.10245901639344263
22,Validation,3,3.2214138507843018,0.3
23,Validation,3,3.7517153566533867,0.1318181818181818
24,Validation,3,3.832015480313982,0.12142857142857144
25,Training,4,3.870098829269409,0.1
26,Training,4,3.7844942538968978,0.21290322580645157
27,Training,4,3.7220819582704636,0.2073770491803278
28,Validation,4,3.625797986984253,0.15
29,Validation,4,3.4816019968553023,0.16818181818181818
30,Validation,4,3.480297769818987,0.1727891156462585
31,Training,5,3.503589153289795,0.25
32,Training,5,3.4221582412719727,0.27580645161290324
33,Training,5,3.3971846846283458,0.26229508196721313
34,Validation,5,3.246999740600586,0.2
35,Validation,5,3.140665054321289,0.21818181818181814
36,Validation,5,3.203644411904471,0.20918367346938777
37,Training,6,3.206705093383789,0.25
38,Training,6,3.078493495141306,0.3016129032258065
39,Training,6,3.068125834230517,0.3163934426229508
40,Validation,6,2.668997287750244,0.4
41,Validation,6,2.961907733570446,0.2227272727272727
42,Validation,6,2.9667957510266985,0.24965986394557824
43,Training,7,2.82712459564209,0.35
44,Training,7,2.756427118855138,0.40483870967741936
45,Training,7,2.7406974815931475,0.40901639344262286
46,Validation,7,2.8553454875946045,0.2
47,Validation,7,2.7902351075952705,0.30000000000000004
48,Validation,7,2.75352304322379,0.31360544217687075
49,Training,8,2.533541202545166,0.5
50,Training,8,2.4653741236655944,0.45322580645161303
51,Training,8,2.415146186703541,0.47377049180327874
52,Validation,8,2.631247043609619,0.35
53,Validation,8,2.458906043659557,0.38181818181818183
54,Validation,8,2.604926483971732,0.3282312925170069
55,Training,9,2.173006296157837,0.5
