ID,Type,Epoch,Loss,Accuracy
1,Training,0,4.576604843139648,0.0
2,Training,0,4.621266872652115,0.00967741935483871
3,Training,0,4.623770760708168,0.017213114754098365
4,Validation,0,4.653659343719482,0.0
5,Validation,0,4.597759160128507,0.01363636363636364
6,Validation,0,4.596272377740769,0.009523809523809525
7,Training,1,4.467587471008301,0.0
8,Training,1,4.515060809350783,0.029032258064516137
9,Training,1,4.4969428250047025,0.02950819672131149
10,Validation,1,4.531386852264404,0.05
11,Validation,1,4.488719766790217,0.022727272727272728
12,Validation,1,4.472213086627779,0.026190476190476188
13,Training,2,4.341451168060303,0.15
14,Training,2,4.32718151615512,0.06935483870967743
15,Training,2,4.323454751343023,0.06803278688524586
16,Validation,2,4.311871528625488,0.1
17,Validation,2,4.226337692954323,0.05454545454545456
18,Validation,2,4.2529153142656595,0.056802721088435384
19,Training,3,3.8817343711853027,0.25
20,Training,3,4.076222235156644,0.13225806451612904
21,Training,3,4.055041965891103,0.12950819672131147
22,Validation,3,4.104377746582031,0.05
23,Validation,3,3.95202957500111,0.10000000000000003
24,Validation,3,3.887523673829578,0.12585034013605442
25,Training,4,3.8747763633728027,0.35
26,Training,4,3.799470078560614,0.18870967741935488
27,Training,4,3.7641507602128828,0.17950819672131152
28,Validation,4,3.7015647888183594,0.1
29,Validation,4,3.5484167229045522,0.15000000000000002
30,Validation,4,3.5902227674211775,0.14285714285714285
31,Training,5,3.5125679969787598,0.2
32,Training,5,3.40520748015373,0.24516129032258063
33,Training,5,3.396346713675827,0.25573770491803277
34,Validation,5,3.4384613037109375,0.1
35,Validation,5,3.1691047928550025,0.21363636363636365
36,Validation,5,3.203414110910325,0.22074829931972792
37,Training,6,3.5135350227355957,0.2
38,Training,6,3.121192547582811,0.33548387096774185
39,Training,6,3.0701491285542972,0.3344262295081966
40,Validation,6,3.2925174236297607,0.1
41,Validation,6,3.1322849663821133,0.2136363636363636
42,Validation,6,3.0033905392601374,0.2448979591836735
43,Training,7,2.599970579147339,0.7
44,Training,7,2.7170979669017177,0.4080645161290323
45,Training,7,2.707864519025459,0.41393442622950827
46,Validation,7,3.065150737762451,0.2
47,Validation,7,2.8097933422435415,0.26363636363636367
48,Validation,7,2.7724508330935524,0.27755102040816326
49,Training,8,2.4212288856506348,0.6
50,Training,8,2.3741557405840967,0.503225806451613
51,Training,8,2.390934439956165,0.4893442622950821
52,Validation,8,1.7436883449554443,0.6
53,Validation,8,2.561563881960782,0.32727272727272727
54,Validation,8,2.5368311745779857,0.32278911564625856
55,Training,9,2.0703072547912598,0.55
56,Training,9,2.1434679377463555,0.5580645161290322
57,Training,9,2.12583182678848,0.5663934426229508
58,Validation,9,2.576493740081787,0.35
59,Validation,9,2.3882967233657837,0.3772727272727273
60,Validation,9,2.4780460596084595,0.3663265306122449
61,Training,10,1.9318435192108154,0.75
62,Training,10,1.8666325846026022,0.6532258064516129
63,Training,10,1.815702989453175,0.6426229508196719
64,Validation,10,1.6909825801849365,0.5
65,Validation,10,2.333596619692716,0.3818181818181818
66,Validation,10,2.3427573555991765,0.40408163265306124
67,Training,11,1.251812219619751,0.8
68,Training,11,1.6038277110745829,0.6741935483870969
69,Training,11,1.569185167062478,0.6950819672131149
70,Validation,11,1.7704410552978516,0.5
71,Validation,11,2.206114335493608,0.41818181818181815
72,Validation,11,2.1713473683311824,0.4363945578231292
73,Training,12,1.237821340560913,0.8
74,Training,12,1.2957925411962694,0.8032258064516131
75,Training,12,1.2967605688532844,0.7860655737704918
76,Validation,12,2.339550018310547,0.55
77,Validation,12,2.0923930514942515,0.4681818181818182
78,Validation,12,2.1091285262789046,0.4496598639455782
79,Training,13,1.0410701036453247,0.85
80,Training,13,1.1003655618236912,0.8080645161290322
81,Training,13,1.1171876270262922,0.8057377049180325
82,Validation,13,1.930005431175232,0.55
83,Validation,13,1.919844475659457,0.5045454545454546
84,Validation,13,2.0702842076619468,0.5149659863945578
85,Training,14,0.8453853726387024,0.9
86,Training,14,0.9327844804333102,0.8451612903225807
87,Training,14,0.898905303634581,0.8786885245901641
88,Validation,14,2.905431032180786,0.35
89,Validation,14,1.957649133422158,0.5090909090909091
90,Validation,14,2.024927082515898,0.4959183673469388
91,Training,15,0.7775781154632568,0.95
92,Training,15,0.7616124268501036,0.908064516129032
93,Training,15,0.740052445013015,0.9131147540983606
94,Validation,15,2.6187899112701416,0.45
95,Validation,15,2.022580937905745,0.4954545454545455
96,Validation,15,1.9634545303526378,0.489795918367347
97,Training,16,0.657507061958313,0.9
98,Training,16,0.6127348321099435,0.9354838709677417
99,Training,16,0.6061420904808357,0.9319672131147545
100,Validation,16,1.6728092432022095,0.5
101,Validation,16,1.8951964378356934,0.5181818181818182
102,Validation,16,1.9383505980173747,0.517687074829932
103,Training,17,0.3449350595474243,0.95
104,Training,17,0.4450097680091858,0.9677419354838709
105,Training,17,0.4593297492285244,0.9631147540983609
106,Validation,17,1.5259807109832764,0.7
107,Validation,17,1.924682703885165,0.5000000000000001
108,Validation,17,1.8709388063067482,0.5125850340136054
109,Training,18,0.3935542702674866,1.0
110,Training,18,0.4039342413025518,0.975806451612903
111,Training,18,0.3981186288302062,0.9778688524590164
112,Validation,18,1.622650146484375,0.55
113,Validation,18,1.8573656515641646,0.5227272727272727
114,Validation,18,1.8868690331776936,0.5316326530612244
115,Training,19,0.5569027662277222,0.9
116,Training,19,0.3259092934669987,0.9822580645161287
117,Training,19,0.32884331780378934,0.9795081967213116
118,Validation,19,1.6539828777313232,0.6
119,Validation,19,1.9300262928009033,0.5272727272727272
120,Validation,19,1.9287979318982078,0.5278911564625851
121,Training,20,0.13582450151443481,1.0
122,Training,20,0.2567289317807844,0.9887096774193547
123,Training,20,0.2487753974121125,0.989344262295082
124,Validation,20,2.3889784812927246,0.45
125,Validation,20,2.102014899253845,0.5000000000000001
126,Validation,20,1.857789519287291,0.5574829931972789
127,Training,21,0.2755669951438904,0.95
128,Training,21,0.23835908068764594,0.9887096774193548
129,Training,21,0.249611570331894,0.9877049180327873
130,Validation,21,2.058795928955078,0.65
131,Validation,21,1.9472295100038701,0.5863636363636364
132,Validation,21,1.8823130613281613,0.5506802721088435
133,Training,22,0.18426087498664856,1.0
134,Training,22,0.25601413701811143,0.9870967741935482
135,Training,22,0.24145717210456974,0.9901639344262295
136,Validation,22,1.5876928567886353,0.5
137,Validation,22,2.0583147460764106,0.5454545454545454
138,Validation,22,1.896960389046442,0.5462585034013605
139,Training,23,0.19636712968349457,1.0
140,Training,23,0.23355774100749724,0.9919354838709676
141,Training,23,0.22131276277245068,0.9926229508196723
142,Validation,23,2.653754711151123,0.45
143,Validation,23,1.8168764872984453,0.5727272727272728
144,Validation,23,1.8727826674779255,0.5418367346938775
145,Training,24,0.20891639590263367,1.0
146,Training,24,0.22625078645444685,0.9870967741935485
147,Training,24,0.22398454305089888,0.9901639344262297
148,Validation,24,3.2031662464141846,0.3
149,Validation,24,1.9187731417742642,0.5181818181818183
150,Validation,24,1.9235328946794783,0.5462585034013605
151,Training,25,0.22585086524486542,1.0
152,Training,25,0.2147309991621202,0.9870967741935484
153,Training,25,0.22519436283189742,0.987704918032787
154,Validation,25,2.437382459640503,0.5
155,Validation,25,2.0477372082796963,0.5272727272727272
156,Validation,25,1.8793929389544897,0.5394557823129252
157,Training,26,0.21213841438293457,1.0
158,Training,26,0.22326852934014413,0.9935483870967741
159,Training,26,0.21808116174623615,0.9934426229508199
160,Validation,26,2.8494248390197754,0.5
161,Validation,26,2.016052408651872,0.5363636363636364
162,Validation,26,1.905637522538503,0.5506802721088435
163,Training,27,0.2065584659576416,1.0
164,Training,27,0.21542403774876748,0.9919354838709676
165,Training,27,0.21220001114196466,0.9926229508196723
166,Validation,27,2.4864754676818848,0.45
167,Validation,27,1.9284488721327349,0.5227272727272727
168,Validation,27,1.8549349790527707,0.5482993197278913
169,Training,28,0.1558157205581665,1.0
170,Training,28,0.2138257168473736,0.9919354838709677
171,Training,28,0.22282083992098198,0.9868852459016395
172,Validation,28,1.787428855895996,0.55
173,Validation,28,1.78650625185533,0.5909090909090909
174,Validation,28,1.8894123860767909,0.548639455782313
175,Training,29,0.21610839664936066,1.0
176,Training,29,0.21289579714498214,0.9887096774193548
177,Training,29,0.21887787516976967,0.9918032786885247
178,Validation,29,1.3678194284439087,0.7
179,Validation,29,1.7511270804838701,0.5681818181818182
