ID,Type,Epoch,Loss,Accuracy
1,Training,0,4.6220598220825195,0.0
2,Training,0,4.621471574229579,0.017741935483870964
3,Training,0,4.628968465523641,0.018032786885245906
4,Validation,0,4.616230010986328,0.0
5,Validation,0,4.580691597678444,0.018181818181818184
6,Validation,0,4.598231224786668,0.014285714285714285
7,Training,1,4.5444722175598145,0.0
8,Training,1,4.541943826983052,0.025806451612903226
9,Training,1,4.513551594781094,0.036065573770491806
10,Validation,1,4.325680255889893,0.05
11,Validation,1,4.517162453044545,0.022727272727272728
12,Validation,1,4.495114417303176,0.023809523809523808
13,Training,2,4.427708625793457,0.0
14,Training,2,4.324706677467592,0.06451612903225808
15,Training,2,4.3191885479161,0.06557377049180325
16,Validation,2,4.303683280944824,0.0
17,Validation,2,4.231230995871804,0.05909090909090909
18,Validation,2,4.243749800182524,0.07380952380952381
19,Training,3,4.090386390686035,0.25
20,Training,3,4.086473757220853,0.13709677419354838
21,Training,3,4.075506929491387,0.13770491803278687
22,Validation,3,4.067601680755615,0.0
23,Validation,3,3.94166577946056,0.07272727272727272
24,Validation,3,3.9503005345662436,0.08809523809523809
25,Training,4,3.840308427810669,0.05
26,Training,4,3.7769922287233415,0.1661290322580645
27,Training,4,3.7234088710097017,0.1836065573770492
28,Validation,4,3.7706432342529297,0.0
29,Validation,4,3.534129337830977,0.1318181818181818
30,Validation,4,3.585029125213623,0.1421768707482993
31,Training,5,3.5857925415039062,0.3
32,Training,5,3.418011449998425,0.2645161290322581
33,Training,5,3.389602008413096,0.2581967213114754
34,Validation,5,3.1948399543762207,0.25
35,Validation,5,3.1450128988786177,0.2545454545454546
36,Validation,5,3.2239983535948253,0.22346938775510206
37,Training,6,2.9566245079040527,0.4
38,Training,6,3.0330704642880346,0.3774193548387096
39,Training,6,3.01643853109391,0.3639344262295081
40,Validation,6,3.107966899871826,0.2
41,Validation,6,2.9791323921897193,0.21818181818181817
42,Validation,6,2.971352463676816,0.22108843537414968
43,Training,7,2.4268441200256348,0.6
44,Training,7,2.7597608258647304,0.4258064516129031
45,Training,7,2.7033218633933145,0.4237704918032785
46,Validation,7,2.768678665161133,0.25
47,Validation,7,2.720131982456554,0.2909090909090909
48,Validation,7,2.7249863261268255,0.2969387755102041
49,Training,8,2.782907009124756,0.5
50,Training,8,2.40643250173138,0.5048387096774194
51,Training,8,2.3581280610600457,0.49918032786885247
52,Validation,8,2.3081271648406982,0.4
53,Validation,8,2.6192424947565254,0.35454545454545455
54,Validation,8,2.5690914733069286,0.3425170068027211
55,Training,9,2.3379383087158203,0.45
56,Training,9,2.0928306694953673,0.5806451612903226
57,Training,9,2.0847401267192405,0.569672131147541
58,Validation,9,2.3208565711975098,0.45
59,Validation,9,2.4819261485880073,0.35454545454545455
60,Validation,9,2.3559222448439825,0.37993197278911567
61,Training,10,1.6893647909164429,0.6
62,Training,10,1.8247816524197977,0.6225806451612902
63,Training,10,1.8054814768619225,0.6360655737704919
64,Validation,10,2.0390496253967285,0.4
65,Validation,10,2.305394346063787,0.36818181818181817
66,Validation,10,2.3036152919133506,0.3782312925170068
67,Training,11,1.5728976726531982,0.7
68,Training,11,1.5897700209771433,0.6790322580645163
69,Training,11,1.5693891947386696,0.6893442622950823
70,Validation,11,1.9775680303573608,0.4
71,Validation,11,2.230086174878207,0.409090909090909
72,Validation,11,2.2273910272689093,0.427891156462585
73,Training,12,1.1664292812347412,0.7
74,Training,12,1.3092471053523402,0.7612903225806451
75,Training,12,1.2828564682944876,0.7754098360655736
76,Validation,12,1.9458990097045898,0.5
77,Validation,12,2.078443321314725,0.47272727272727266
78,Validation,12,2.089028176807222,0.43979591836734705
79,Training,13,1.1190341711044312,0.8
80,Training,13,1.0277296612339635,0.8516129032258063
81,Training,13,1.0273500983832313,0.8426229508196719
82,Validation,13,1.9474653005599976,0.45
83,Validation,13,1.8961149237372659,0.4954545454545455
84,Validation,13,2.0192718505859375,0.4540816326530613
85,Training,14,0.9751871228218079,0.75
86,Training,14,0.8552365476085294,0.875806451612903
87,Training,14,0.8676152688557984,0.8655737704918034
88,Validation,14,2.0991578102111816,0.4
89,Validation,14,1.9971286491914229,0.48636363636363633
90,Validation,14,1.9264585574467976,0.4959183673469387
91,Training,15,0.9506257772445679,0.9
92,Training,15,0.7190789666868025,0.9177419354838707
93,Training,15,0.7054327794762908,0.9163934426229511
94,Validation,15,1.5928351879119873,0.45
95,Validation,15,1.7922708121213047,0.4954545454545455
96,Validation,15,1.8871151833307176,0.5006802721088436
97,Training,16,0.5777848362922668,0.95
98,Training,16,0.643316323718717,0.9387096774193547
99,Training,16,0.6729221671331124,0.9262295081967213
100,Validation,16,1.6688226461410522,0.6
101,Validation,16,1.9765667806972156,0.4727272727272727
102,Validation,16,1.872033403033302,0.49863945578231283
103,Training,17,0.6639049649238586,1.0
104,Training,17,0.672525861570912,0.925806451612903
105,Training,17,0.6638772878490511,0.9360655737704919
106,Validation,17,2.847351551055908,0.3
107,Validation,17,1.8263283642855557,0.5136363636363637
108,Validation,17,1.8895883900778634,0.49659863945578225
109,Training,18,0.46427997946739197,1.0
110,Training,18,0.6242789174279859,0.9467741935483868
111,Training,18,0.631473610147101,0.9491803278688525
112,Validation,18,1.526740312576294,0.6
113,Validation,18,1.903915069319985,0.5045454545454544
114,Validation,18,1.8506045738855998,0.5224489795918368
115,Training,19,0.5150761008262634,1.0
116,Training,19,0.6334939685560042,0.9516129032258063
117,Training,19,0.6215703018376084,0.9459016393442623
118,Validation,19,1.4103237390518188,0.75
119,Validation,19,1.70337053862485,0.5499999999999999
120,Validation,19,1.8370860701515561,0.51734693877551
