ID,Type,Epoch,Loss,Accuracy
1,Training,0,4.631488800048828,0.0
2,Training,0,4.676718419597995,0.008064516129032258
3,Training,0,4.648195931168853,0.012295081967213115
4,Validation,0,4.6162285804748535,0.0
5,Validation,0,4.607490886341441,0.031818181818181815
6,Validation,0,4.612317380451021,0.019047619047619046
7,Training,1,4.639983177185059,0.0
8,Training,1,4.611778166986281,0.020967741935483876
9,Training,1,4.62127016411453,0.01803278688524591
10,Validation,1,10.056763648986816,0.0
11,Validation,1,9.096888802268289,0.01363636363636364
12,Validation,1,9.224613689240956,0.009523809523809525
13,Training,2,4.5518903732299805,0.1
14,Training,2,4.634758318624189,0.016129032258064516
15,Training,2,4.633497402316234,0.01475409836065574
16,Validation,2,4.605778694152832,0.0
17,Validation,2,4.625369245355779,0.01363636363636364
18,Validation,2,4.620598452431815,0.023469387755102038
19,Training,3,4.622147083282471,0.0
20,Training,3,4.621960886063114,0.017741935483870968
21,Training,3,4.615620355137059,0.02131147540983607
22,Validation,3,4.6083807945251465,0.05
23,Validation,3,4.610561154105446,0.02727272727272727
24,Validation,3,4.625453131539481,0.019047619047619046
25,Training,4,4.572325706481934,0.05
26,Training,4,4.6260509952422115,0.012903225806451611
27,Training,4,4.616457477944796,0.014754098360655742
28,Validation,4,4.635732173919678,0.0
29,Validation,4,4.635832873257724,0.01363636363636364
30,Validation,4,4.63427684420631,0.01904761904761905
31,Training,5,4.67546272277832,0.0
32,Training,5,4.5858610522362495,0.02741935483870968
33,Training,5,4.595000274845811,0.022131147540983616
34,Validation,5,4.624802112579346,0.05
35,Validation,5,4.644655834544789,0.031818181818181815
36,Validation,5,4.634893508184524,0.019047619047619046
37,Training,6,4.660078048706055,0.0
38,Training,6,4.598944325600901,0.016129032258064516
39,Training,6,4.6034305681947805,0.018032786885245906
40,Validation,6,4.655770778656006,0.0
41,Validation,6,4.6381260698491875,0.018181818181818184
42,Validation,6,4.633193651835124,0.023469387755102038
43,Training,7,4.498558521270752,0.1
44,Training,7,4.595792493512554,0.02096774193548387
45,Training,7,4.59745222623231,0.018032786885245906
46,Validation,7,4.6577229499816895,0.0
47,Validation,7,4.636234283447266,0.018181818181818184
48,Validation,7,4.637006623404367,0.01904761904761905
49,Training,8,4.484360694885254,0.1
50,Training,8,4.579818325657999,0.029032258064516134
51,Training,8,4.596325858694608,0.021311475409836075
52,Validation,8,4.609598636627197,0.0
53,Validation,8,4.657731272957542,0.009090909090909092
54,Validation,8,4.643257300059001,0.019047619047619046
55,Training,9,4.647304058074951,0.0
56,Training,9,4.591593726988761,0.01935483870967742
57,Training,9,4.593000154026219,0.022950819672131157
58,Validation,9,4.684149265289307,0.0
59,Validation,9,4.653558687730269,0.01363636363636364
60,Validation,9,4.644167968205044,0.019047619047619046
61,Training,10,4.590795516967773,0.05
62,Training,10,4.588408424008277,0.02419354838709678
63,Training,10,4.590747200074743,0.019672131147540992
64,Validation,10,4.655905246734619,0.05
65,Validation,10,4.651841033588756,0.01363636363636364
66,Validation,10,4.6440823418753485,0.01904761904761905
67,Training,11,4.621265888214111,0.0
68,Training,11,4.587279073653683,0.017741935483870964
69,Training,11,4.587385881142538,0.020491803278688533
70,Validation,11,4.620107650756836,0.0
71,Validation,11,4.644902142611417,0.018181818181818184
72,Validation,11,4.645393144516718,0.019047619047619046
73,Training,12,4.6362199783325195,0.0
74,Training,12,4.584656361610659,0.017741935483870964
75,Training,12,4.588682502996726,0.020491803278688533
76,Validation,12,4.6852641105651855,0.0
77,Validation,12,4.652406779202548,0.022727272727272728
78,Validation,12,4.644488153003511,0.019047619047619046
79,Training,13,4.543771743774414,0.0
80,Training,13,4.586208251214797,0.016129032258064516
81,Training,13,4.586305164899982,0.021311475409836075
82,Validation,13,4.618477821350098,0.05
83,Validation,13,4.64102654023604,0.018181818181818184
84,Validation,13,4.6427897952851795,0.019047619047619046
85,Training,14,4.651556015014648,0.0
86,Training,14,4.585714601701306,0.012903225806451613
87,Training,14,4.59484574052154,0.015573770491803283
88,Validation,14,4.630387783050537,0.05
89,Validation,14,4.645616011186079,0.018181818181818184
90,Validation,14,4.639669736226399,0.01904761904761905
91,Training,15,4.646173477172852,0.0
92,Training,15,4.599906275349278,0.014516129032258063
93,Training,15,4.592068578376145,0.016393442622950824
94,Validation,15,4.6752028465271,0.05
95,Validation,15,4.640205166556618,0.01363636363636364
96,Validation,15,4.645831312452044,0.01904761904761905
97,Training,16,4.610569953918457,0.0
98,Training,16,4.600917723871047,0.012903225806451611
99,Training,16,4.590752984656662,0.017213114754098365
100,Validation,16,4.655328750610352,0.0
101,Validation,16,4.642691308801824,0.018181818181818184
102,Validation,16,4.647592726207915,0.019047619047619046
103,Training,17,4.560580253601074,0.0
104,Training,17,4.591606986138128,0.022580645161290328
105,Training,17,4.588860324171723,0.021311475409836075
106,Validation,17,4.634314060211182,0.05
107,Validation,17,4.639769857580012,0.02727272727272727
108,Validation,17,4.643574283236549,0.019047619047619046
109,Training,18,4.659759998321533,0.0
110,Training,18,4.587985992431641,0.016129032258064516
111,Training,18,4.586700689597208,0.01967213114754099
112,Validation,18,4.706485271453857,0.0
113,Validation,18,4.643121979453347,0.018181818181818184
114,Validation,18,4.643823896135602,0.019047619047619046
115,Training,19,4.602323055267334,0.0
116,Training,19,4.577416035436815,0.025806451612903226
117,Training,19,4.586274600419842,0.020491803278688533
118,Validation,19,4.650097370147705,0.0
119,Validation,19,4.659596920013428,0.009090909090909092
120,Validation,19,4.644603252410889,0.01904761904761905
